,Address,Baths,Beds,Half-Baths,Locality,Price
0,1111 Compass LN 210,1,1,0,Foster City CA 94404,"$629,000"
1,101 Emerald Bay LN,2,2,1,Foster City CA 94404,"$988,000"
2,1041 Lido Ln,2,2,1,Foster City CA 94404,"$1,229,000"
3,803 Centaurus Ln,2,3,1,Foster City CA 94404,"$1,068,000"
4,174 Albacore LN 202,2,2,0,Foster City CA 94404,"$768,888"
5,1075 Shell Blvd 5,2,2,0,Foster City CA 94404,"$688,000"
6,1066  Shoreline Dr,1,1,1,San Mateo CA 94404,"$819,000"
7,2021 Vista Del Mar,1,1,0,San Mateo CA 94404,"$549,000"
8,6105 Admiralty LN,2,3,0,Foster City CA 94404,"$775,000"
9,465 Fathom Drive,1,1,0,San Mateo CA 94404,"$589,000"
10,799 Widgeon ST,2,4,0,Foster City CA 94404,"$1,550,000"
11,816 Constitution DR,2,4,0,Foster City CA 94404,"$1,388,000"
12,648 Portofino LN,2,2,0,Foster City CA 94404,"$1,199,000"
13,800 Sea Spray LN 208,2,2,0,Foster City CA 94404,"$735,000"
